DESDE_DT;UNADM_ID;ACTIV_ID;UNGES_ID;ELMUN_ID;UNFAC_ID;TPREC_ID;TPENT_ID;TPGFA_ID;PROCE_ID;PROVE_NM;OPERADOR_ID;sum(POBDC_QT);sum(POBGC_QT);PORCENTAJE_QT;UTE_ID;PORCENTAJE_UTE_QT;MEDIOSPP_SN
2017-07-01T00:00:00.000Z;UA1;1;UG1;14027;77.0000000000;0101;2;2;2;1022;0;9712.0;9712.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14028;77.0000000000;0101;1;1;2;1022;0;355.0;355.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14029;77.0000000000;0101;1;1;2;1022;0;4796.0;4796.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14030;77.0000000000;0101;2;2;2;1022;0;10893.0;10893.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14031;77.0000000000;0101;1;1;2;1022;0;711.0;711.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14032;77.0000000000;0101;1;1;2;1022;0;486.0;486.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14033;77.0000000000;0101;1;1;2;1022;0;1591.0;1591.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14034;77.0000000000;0101;1;1;2;1022;0;365.0;365.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14035;77.0000000000;0101;2;2;2;1022;0;6989.0;6989.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14036;77.0000000000;0101;1;1;2;1022;0;4598.0;4598.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14037;77.0000000000;0101;1;1;2;1022;0;4461.0;4461.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14038;77.0000000000;0101;2;2;2;1022;0;5501.0;5501.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14038;77.0000000000;0113;2;2;4;1022;0;440.0;440.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14038;77.0000000000;0209;2;2;9;1022;0;36674.0;36674.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14039;77.0000000000;0101;1;1;2;1022;0;3071.0;3071.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14040;77.0000000000;0101;1;1;2;1022;0;4473.0;4473.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14041;77.0000000000;0101;1;1;2;1022;0;3924.0;3924.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14043;77.0000000000;0101;2;2;2;1022;0;2243.0;2243.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14043;77.0000000000;0113;2;2;4;1022;0;7392.0;7392.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14044;77.0000000000;0101;1;1;2;1022;0;1981.0;1981.0;NULL;0;NULL;NULL
2017-07-01T00:00:00.000Z;UA1;1;UG1;14045;77.0000000000;0101;1;1;2;1022;0;3819.0;3819.0;NULL;0;NULL;NULL
